"","0","A","B","C","D","G","H","J","L","M","N","P","R","S","V"
"47",0.231711486019726,1,1,0.115591371218561,1,0.690552560599989,1,1,0.752106700714055,0.615720978015856,0.241748446411268,1,0.112046257893409,0.774003247759338,0.00871840719863319
"48",1,0.864272334567443,1,1,1,1,1,1,1,1,5.54237326538874e-16,1,1,1,0.516551096464308
"49",1,1,1,0.750845983420189,1,1,1,1,0.103997234409914,0.0644636789712878,1,0.115808171293817,1,1,0.197591690229116
"50",0.243715994050668,1,1,1,0.763587040198649,5.33914990891846e-10,1,1,0.0106328018597434,1,1,1,1,1,1
"51",1,0.830886565410005,0.301819728759172,1,1,1,0.000434443843734242,0.0161213546812623,0.115894316374802,1,1,1,1,0.678002557974149,0.0447905315590082
"52",1,0.891201011665108,0.543474145691191,0.674425718645966,0.358572655812838,0.0303094063122561,1,0.00478533233145065,0.628343012942015,1,0.998399544251621,0.0630474832455153,0.878406913406864,1,0.543474145691191
"53",1,1,1,0.832105973785955,1,1,1,0.439347217208875,7.12176367246361e-09,1,1,1,1,1,1
"54",0.375310108280235,0.913164062633462,0.568986643066234,0.0119151407028385,0.911960956594168,0.0020398691427111,1,1,0.993348781628618,0.818687295945403,0.579936278733776,1,0.895827395347877,0.229364652297747,0.568986643066234
"55",1,1,1,1,1,1,1,1,1,1,1.44888074444215e-08,1,1,1,1
"56",1,0.482373596586414,1,8.79835580880296e-05,1,0.857895928203397,0.322475621382727,1,0.628343012942015,0.796240932041509,1,0.354904138649879,0.605518612197841,1,0.543474145691191
"57",0.0167844250436747,9.39678912546823e-05,0.000270550645343884,0.963307501260076,0.583417794044952,0.746438870281635,1,0.969926757067624,0.72465071769955,1,0.992340959196497,0.460214719835434,0.132424987288836,0.211655969486165,0.283903781418099
"58",1,0.505025698364067,0.0447905315590082,0.896565189704847,0.0682534862627474,0.590894765387481,0.16339044459086,1,1,1,1,1,0.619073792579997,0.0168944046128332,1
"59",1,0.546601050366479,1,1,1,0.618403565645909,1,1,1,1.99336702675259e-09,0.958206575776227,1,1,0.101007686133451,1
"60",1,0.329329875382729,1,1,1,1,1,1,1,0.593157806082842,2.32136884851177e-06,1,0.31509560550899,0.753030064312761,1
"61",1,0.49173625125683,0.335816707853895,0.857744966097993,0.668759823675075,0.955472156475028,1,0.49173625125683,0.500353182660636,0.705788779346163,0.689438388718298,0.502807511971744,0.0805412927943793,0.980673397428077,1
"62",0.115808171293817,0.663330055041064,0.0174017539998646,1,0.0174914100711147,0.0117207192035155,1,0.268022878964035,1,1,1,1,1,0.500552163075791,1
"63",1,1,1,1,1,0.690552560599989,1,1,1,0.615720978015856,5.59722595659544e-07,1,0.112046257893409,0.417459129167536,1
"64",1,0.744388833898426,1,0.63922972811069,1,1,1,3.03063711778861e-12,1,1,1,1,1,0.826996200858806,1
