"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"pKa..strongest.acidic..calculated.ChemAxon",0,10.8736363636364,13.258125,0,13.3085714285714,0,5.60555555555556,0,0,12.2623529411765,0,0,0,0,10.6126666666667,0,4.64285714285714,0,14.8313333333333,1.17285714285714,14.62,0,0,11.9253333333333,0,13.7468421052632,11.6021052631579,11.905,13.125,12.8692857142857,3.16785714285714,0
"pKa..strongest.basic..calculated.ChemAxon",0,0,8.06461538461538,0,0,0,8.32777777777778,-1.796,0,9.60941176470588,9.03173913043478,0,-1.78571428571429,8.29846153846154,0,0,0,0,-0.886875,0,0,0,-1.79333333333333,0,0,7.512,5.36947368421053,7.8347619047619,-3.1625,0,0,0
"Physiological.Charge.calculated.ChemAxon",0,0.0892857142857143,0.884615384615385,0,0.7,0,0,-0.6,0,0,0.782608695652174,0,0,0.923076923076923,0,0.25,-0.954545454545455,0,0,-1.25,1.125,0.6,-0.666666666666667,0.24390243902439,0,0.7,0.473684210526316,0.863636363636364,0,0,-0.857142857142857,0
"Number.of.Rings.calculated.ChemAxon",1.84210526315789,0,3.38461538461538,1.29411764705882,0,6.75,3.88888888888889,0,0,1.52941176470588,0,0,0,4.23076923076923,0,0,3.27272727272727,0,4.0625,0.5,0,4.5,0,3.68292682926829,0,3.15,3.84210526315789,0,4.4375,0,3.5,0
"",8.33525824513122e-10,1.01422990566877e-07,0.000218047803398571,0.00785636065353688,0.0394927427181662,0.0163341190952716,5.41270142313895e-06,0.0782281901356954,0.0171907989671888,0.780067988443278,0.416016447711861,7.19289554393409e-05,4.79462805761392e-05,0.0980388244934673,2.30560200981949e-07,0.147258139697862,0.169336193409117,0.356761379017124,1.6664392242742e-05,0.000889542681912808,0.22934007108533,0.451108206310211,7.18327140996228e-07,0.00119629626904434,0.00899119942349602,0.00221520113246311,1.36936888118709e-09,0.000895532671423845,0.00014702621788465,0.00488741184138026,0.000358174606836814,0.0766465045278454
"",3.29575650347333e-07,5.90245085701141e-05,0.0295066168999304,0.00278891569598637,0.714350275698338,0.000135433330425983,0.365286970566912,0.1543070496064,0.00188470255067725,0.44259642175786,0.623300139091801,1.41516607961983e-06,0.000157618578653746,0.418985317682631,8.0035305338657e-08,0.27230934586331,0.000276603369245874,0.584172615544597,1.46429576723954e-08,1.76011364056639e-06,0.0756587213546739,0.700786594961551,0.000231265535504022,0.0126155073071482,0.226525165523274,0.111955846833683,1.25407192657119e-08,0.00984930315480778,2.76240359754309e-05,0.119981190219378,0.013380201357142,0.472921675810077
"",0.00072137500338611,0.722514244004023,0.190556306758213,0.00239332078857781,0.0148197461216464,4.64037560281429e-05,0.159214270605479,0.000230707694282699,0.0450493589837654,3.65317688976035e-05,0.00259191221575936,2.34515692468101e-05,0.00561137326904096,0.00315146165582473,0.00131162944289721,0.0368507697013283,0.000612143393239473,0.182466223328185,0.445746741202284,0.0066933330395225,0.15706930413208,0.00874378003743738,0.65732381787148,0.016736765393173,0.300869704771842,0.0268995680003697,2.68820918095212e-06,0.00165169181569308,6.46298713117454e-06,0.00020209539032952,7.49553049988296e-06,0.7158524446033
"",0.000726136892925755,0.71790122932236,0.193720929827879,0.00239295134567213,0.0147240826724558,4.64222743084175e-05,0.156495294095727,0.000225367423095826,0.0472059874472984,3.71195202000891e-05,0.00260281459290384,2.34238087128733e-05,0.00558423797937017,0.00318377362107944,0.00132983341462683,0.0366004503697213,0.000619173785126906,0.18292562101357,0.445648017947191,0.0067351964246908,0.156970887704824,0.0087244837940766,0.659949714970325,0.016720394435799,0.30075761304895,0.0270679672281098,2.7041932392325e-06,0.00163883348688571,6.42460318827782e-06,0.000179600331360482,7.49776427331416e-06,0.713248662935657
"",0.264749062956624,2.22448967388463e-08,0.00021409528195711,0.902895389933597,8.11934774668766e-10,8.72386478808608e-05,0.0255401645128922,0.00496448065874124,0.657794960233485,4.41659979036746e-07,7.15279797487501e-08,0.0232942913499819,0.00201747069680905,1.04260492882575e-05,5.18631896530822e-05,0.000176161239441358,0.0854116315836019,0.832406729602961,2.33103709665836e-07,0.233816494019095,0.311277838415246,0.000199899165551317,5.51600294958844e-07,0.00501732303244097,0.0024327544066703,7.05986897060871e-07,0.00348627908086405,1.06171104515671e-13,0.00199448670719046,1.85879631431398e-08,7.78221502876571e-07,0.305644555761498
"",5.33429596256245e-05,0.434471588477419,0.0370382878192115,0.00233831382557696,0.285168302729298,4.56147421111639e-05,0.0564644164194155,0.000734785664850064,0.2576396627446,0.00251884028858751,0.0403375676295866,4.84800845548155e-07,0.000984113447923717,0.532144527660192,1.14394424731e-05,0.00248541691004169,0.00297648810854818,0.375909549601144,0.00492200877607804,9.19398826973596e-05,0.11075621416496,0.0133871402775458,0.0123578611039503,0.000697190811095302,0.980346364114386,0.855258210354524,2.77441924098896e-07,0.38241651494804,2.03172093552902e-07,0.00983317648182152,0.000279444057822157,0.825667429699734
