"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"Geometrical_radius",0,0.0236820103641485,0,0,0.0451172867730081,0,0,0.0254628115177198,0.0149132757934815,-0.00819124353780417,0.0289386988022824,0,-0.0196890092226747,0.0330158209941438,-0.00662061769510192,0.0619261050946161,0,0.0234988343112594,0.0243630126821917,0,0,0,0,0.0207933361534712,0,0.0268198696284889,0.0278942457119001,0.0466832467699149,-0.0108604353330504,0.0789458464958074,0,0.0328534275619131
"Geometrical_shape_coefficient",-0.239751351512769,0,0,-0.276705881598777,-0.226993815825981,0,0.0790066290345273,-0.200263469566464,0,0,-0.223814052879026,0,0,-0.185555589001418,-0.185647467537801,-0.321635046913975,0,0,-0.134918956788623,0,0,0.288712903006499,0,0,-0.120496400410641,-0.138648644228417,0.0996246290368162,-0.226207302183326,-0.0723637830145454,-0.324270002175288,-0.0772076968658113,-0.225382552655372
"Kier_shape_1",-0.213543008226165,0,0,-0.241081515118794,-0.191029163065208,3.73491869375325,0,-0.223245303960535,0,-0.11598378871539,-0.189263844173214,0.650716343599952,0.302140505365568,-0.152507759993506,-0.164896868760663,-0.246777710034886,0.253824502517663,0,0,-0.277256130990356,0,0.881907532588554,0,0.159470953600319,0,-0.162191430048052,0.32694268861329,-0.137874401018103,0.171000911321681,-0.229857387219694,0.232522867668436,0
"Kier_shape_2",-0.24390349105196,0,0,-0.221476230448761,0,4.06090377348113,-0.130591278910459,-0.260654464926839,0,0,-0.208071882363868,0.753155867065581,0.481654969930385,-0.287460303342929,-0.242562196194683,-0.296477929265346,0.260235894581174,0,-0.228430708714729,-0.492861869530433,0,0,0,0,0,-0.197188785786213,0.3422785893484,-0.123003992917034,-0.181426354274709,-0.311193867372248,0.123315609716844,0
"Zagreb_group_index_1",-0.259179441715257,0,0,-0.289554967031852,0,3.43729126978107,0.085602124584541,-0.292210329855303,0,0,0,0.783595596138,0.432371800593818,0.149641601590753,-0.195680536719422,-0.290109780449775,0.213392780051047,0,0.300852274228612,-0.470446720890324,0,0.990175082219892,0.181228534584478,0.267681566236495,0,0,0.272691728335328,0,0.50863606594227,-0.291998614401386,0.133437363319533,0
"Zagreb_group_index_2",-0.276015180139763,0,0,-0.304453839553043,0,3.5918747680018,0.132812894486326,-0.280486809986419,0,-0.100179022300142,0,0.753116455224972,0.426249047086422,0.208133573268718,-0.168975540685422,-0.337569959747644,0.220469119524881,0,0.385457240853153,-0.472810561652872,0,0.990077902489592,0,0.282822101998383,0,0,0.259532363213713,0,0.639315222357971,-0.280717682179589,0.166885782328298,0
"abonds",-0.175834336050932,0.359364601278956,0.353259670434889,-0.545430149313377,0,1.75485004338531,0.353259670434889,0.314595108422464,0.632834195755503,-0.160751565730296,0,0,-0.3910331483043,0,0,0,0.744948494299894,0,-0.454147359824583,-0.840508681698745,0,0,0,0.371303132707354,0,0.241132440598855,1.18556524217605,0,-0.963751973113351,0,-0.249907496958947,0
"atoms",-0.245912889183703,0,0,-0.264316148623749,0,3.3947111121751,0,-0.273527346762892,0,0,0,0.763265723782907,0.426599461796636,0,-0.200282161559973,-0.27502214646091,0.164968895086345,0,0.193641523564965,-0.411422618905121,0,0.932776009538233,0.167668533336948,0.224739219243355,0,0,0.261532271459501,0,0.370544473120933,-0.303943271053012,0.109141375929906,0
"bonds",-0.250881867643912,0,0,-0.281730635792927,0,3.40035422021381,0,-0.266969799035987,0,0,0,0.748842013050902,0.409743111290721,0.0911636743598977,-0.19308730842499,-0.278076317232412,0.177206947586991,0,0.223279299562707,-0.451313856491858,0,0.949193943472489,0.171756242495682,0.243930037999537,0,0,0.284365897154025,0,0.402952441197799,-0.290463549247327,0.128518827175822,0
"dbonds",0,-0.169843408280567,-0.398113178169749,0,-0.476510201181252,0,0,0,0,-0.803189257221596,-0.667499863132137,0.567738145331972,0,-0.487890414199051,-0.362708071003263,0,0,0,0,0,0,1.19865715503874,0,0,-0.362708071003263,-0.354741921890804,-0.270468449701104,-0.587208636899841,1.00149496450538,-0.314218467710033,1.51730311953711,0.868424064558614
"HBA1",-0.217195100129758,0,0,-0.213079795001371,0,3.65485856294412,0,-0.362043288584551,-0.164037046311598,0,0,0.841172741550168,0.451166065937758,0,-0.129609447991325,-0.320007381243223,0,0,0.13889672831349,-0.295280376924795,0,1.00659640044045,0,0.174532705125342,0,0,0.120523722008775,0,0.339894546504831,-0.446867664268203,0.134969498215857,0
"HBA2",0,-0.234478475637771,0,0,-0.397939154489474,4.62780046443681,0,-0.3215802179857,0,-0.319766261349298,-0.396662249196769,0.350672111464834,-0.190521851005665,-0.306161586576284,0.449351352485096,0,0.233490512753273,0,-0.473952575443457,0,0,0.973584820405237,-0.454417657820668,0,-0.290742955166868,-0.329289533690408,0,-0.558466464184908,-0.14233862785124,-0.450292271490389,0.911910294767573,0
"HBD",0,-0.495126910890944,-0.427109286385974,0,-0.588889056011197,5.92464996281139,-0.320524967574063,-0.400463206682996,0,0,-0.546437382447136,0,0,-0.640277924009798,0.438888303960809,-0.640277924009798,0,0,-0.661438046126869,0.573784082457135,-0.588889056011197,0.798610379951011,-0.529594208320505,-0.43243850232657,-0.232592904554235,-0.424444678415676,-0.318421329702775,-0.771085951642599,-0.258073218270208,-0.859239187656008,0.223055058366687,-0.542171903285197
"logP",-0.901395879852039,0.748606850150801,0.384595026082205,-0.564977129727655,0,0,0,0,1.0140372820725,0,0.246340224135015,0.666748169945948,0.632323294187239,0,-1.48469907086245,0,0.586593615625283,0,1.01280932695953,-1.16760088223356,0,0,1.26222049946075,0.502910230968913,0.451909878079701,0.267143086395525,1.23750547355203,0.49373266280373,0,0.274190702446995,-0.721022729724442,0
"MR",-0.264438499188411,0,0.188760034137893,-0.318597167617244,0,3.28774787745702,0.112529741413223,-0.184259128232549,0,-0.123256473216682,0,0.593130767997988,0.262978153092982,0,-0.238560186066643,-0.237989541909618,0.249329047384261,0,0.123478186460627,-0.476601426961136,0,0.864049679683176,0.156595097424602,0.236285784183194,0,0,0.399561007569552,0,0.219784061211232,-0.150807463390393,0.253896208270414,0
"MW.1",-0.216945650797508,0,0,-0.284887045595048,-0.193936100422695,3.31184161619595,0,-0.215945814993028,0.0673413330878763,-0.188833036298208,-0.18060950328785,0.525708744060824,0.197743907564073,0,-0.147383949403502,-0.259570157986744,0.261507857387186,0,0,-0.247250542315294,0,0.784360375963885,0,0.170693032643008,0,-0.125096039711498,0.350067203404973,-0.143141817660722,0.237030568895898,-0.154635869495129,0.300418405358183,0
"nF",0,0,0,0,0,0,6.02086295982233,0,0,0,0,0,0,0,0,0,-0.788669676794646,0,0,0,0,0,0,0,0,0,5.13970202154504,0,4.16438477333085,0,0,0
"sbonds",-0.277721572903485,0,0,-0.223716055040952,0,3.69965978622666,0,-0.427251115042061,-0.245349907861969,0,0,0.960956083351044,0.619716834317935,0.172636507746276,-0.190968571742581,-0.401417556974651,0,0,0.382669847496016,-0.376214085689373,0,1.1350490612541,0,0.22992939872156,0,0,0.0923715054434904,0,0.703006430831002,-0.394705762991071,0.139826988876691,0
"tbonds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0787400526248,0,0,0,0,0,0,0,0,0,0,0,0,0
"TPSA",0,-0.262562083182057,-0.26711723432004,0,-0.547490117081532,4.29682682140109,-0.208600679897536,-0.281961428004707,0,-0.367882019294408,-0.492195515600461,0,-0.184111198502484,-0.473099647118064,0.328041292464964,0,0,0,-0.491073127023598,0,0,0.711138994545921,-0.490115660776785,-0.152817145194258,-0.286784998821447,-0.397622465220817,-0.154394984545831,-0.712397692691779,-0.14520409427312,-0.569004648597784,0.866667299616236,0
"",0.000762059564376769,0.681539686771733,0.172489056301074,0.000485653684908003,0.00952427262969811,0.0154398747581013,0.14880961285125,0.000243940048608626,0.0415577647774867,3.94224192752214e-05,0.00274907468936811,5.37367289546982e-05,0.00587935412163594,0.0953013738039741,0.00140650833168473,0.0179625437222508,0.000379601027330279,0.155086307002072,0.598823847052361,0.00722881984222288,0.292057524618972,0.00866584807138204,0.644908143145809,0.00474905570336594,0.34362512605731,0.0283380948688441,2.55798698776457e-06,0.00178601780998981,6.06003096153009e-06,0.00022160591986061,3.27115401286011e-06,0.936412833964938
"",0.401864126633066,0.421452541967709,NA,0.399541150105776,0.304354768996529,NA,NA,NA,NA,NA,NA,0.803016710553396,NA,NA,NA,0.860981305140604,0.622107134874114,0.834065926222648,NA,0.834065926222648,0.212986824825865,NA,NA,0.411899957518813,0.647478278020797,NA,NA,0.437479180204287,NA,0.858155897796856,0.70175669374848,0.242601825494258
"",1.4528872208998e-05,0.142556890000813,0.0371891047926308,0.000217993636908279,0.542215333668635,0.0120785180119015,0.00332062431178749,0.0276214092405413,0.687210018481711,0.341904118372487,0.575855048036794,2.46160644956175e-07,2.26755941291416e-05,0.0141182456259926,6.45346355424296e-07,0.00311857396415952,0.0116310585322434,0.120035741275065,5.56196847515936e-06,7.35976895561056e-06,0.195144949490726,0.00746724117123268,0.00093775727710303,0.000214484430919347,0.392606312919127,0.842469682840203,1.19113255719635e-07,0.0198103229564052,6.28361305353549e-11,0.0129312836721222,0.132142936411824,0.802733647208755
"",0.00016109080388542,0.338651818142281,0.127098021700219,0.00684687191634517,0.92465832170736,0.0244378732687216,0.094819678224006,8.89497925519512e-09,0.0235821554902706,0.00830111276773467,0.666858781607689,9.73939840084048e-08,2.59029977552792e-05,0.0409591264089907,4.67795798111339e-05,0.00562272163520765,0.308576974652759,0.345925273560312,0.000154680813574295,0.00368777681952559,0.104892132772273,0.042895074339117,0.026942297491098,0.0115723007311764,0.992269126707997,0.979755325966031,0.0109375301848051,0.0294294558053026,6.91272776141757e-12,9.22783910334793e-09,0.176737024514488,0.409876549122433
"",0.00235600564197548,0.366006410950407,0.000136649236750214,0.00990530646000767,0.777475217894108,0.0888039674656818,0.00327800658608168,0.0238573779257381,0.360056734210059,9.65406385497847e-08,0.424043163146195,0.742964023546887,3.28721649958062e-07,0.0256095138969925,2.24758730766819e-05,0.0986902303966364,0.00186217322821633,0.0175462996062448,8.90364422171572e-05,0.00100842559878014,0.0142840513883309,0.595249172318873,0.000230284435565579,0.000131064520155368,0.155409679541815,0.0957209524890988,5.90969303424931e-06,0.00831873276543939,NA,0.503988086940787,5.32266529990289e-05,0.00635547296047463
