cid,MF,MW,Ncharges,C,H,N,O,Cl,P,S,F,Br,Pt,I,Gd,B,RNH2,R2NH,R3N,ROPO3,ROH,RCHO,RCOR,RCOOH,RCOOR,ROR,RCCH,RCN,RINGS,AROMATIC,Molecular_weight,LogP,Number_of_HBA_1,Number_of_HBA_2,Number_of_HBD_1,Number_of_HBD_2,Number_of_acidic_groups,Number_of_aliphatic_OH_groups,Number_of_basic_groups,Fraction_of_rotatable_bonds,Number_of_heavy_bonds,Number_of_heterocycles,Number_of_hydrophobic_groups,MolarRefractivity,Number_of_atoms,Number_of_halogen_atoms,Number_of_B_atoms,Number_of_Br_atoms,Number_of_Cl_atoms,Number_of_I_atoms,Number_of_F_atoms,Number_of_N_atoms,Number_of_O_atoms,Number_of_P_atoms,Number_of_S_atoms,Number_of_bonds,Number_of_NO2_groups,Number_of_SO_groups,Number_of_OSO_groups,Number_of_SO2_groups,PolarSurfaceArea,Geometrical_diameter,Geometrical_radius,Geometrical_shape_coefficient,Kier_shape_1,Kier_shape_2,Zagreb_group_index_1,Zagreb_group_index_2,abonds,atoms,bonds,dbonds,HBA1,HBA2,HBD,logP,MR,MW,nF,sbonds,tbonds,TPSA
2130,C10H17N,151.24868,0,10,17,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,151.252997,5.9562,17,0,1,0,0,0,0,0,13,0,0,65.6255,28,0,0,0,0,0,0,1,0,0,0,30,0,0,0,0,27.64,5.95496251,1.01755715,4.852214305,6.50887574,1.836734694,169,204,0,28,30,0,18,1,1,2.6142,46.5874,151.24868,0,30,0,26.02
2153,C7H8N4O2,180.16402,0,7,8,4,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,2,180.166997,0.7539,11,5,1,1,0,0,0,0,14,2,0,55.4994,21,0,0,0,0,0,0,4,2,0,0,22,0,0,0,0,72.68,7.649571927,1.012649123,6.554020195,9.551020408,3.292517007,110,114,10,21,22,2,11,5,1,-1.0397,47.1377,180.16402,0,10,0,72.68
2159,C17H27N3O4S,369.47898,0,17,27,3,4,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,2,1,369.4869946,9.6647,33,6,3,2,0,0,1,0.307692308,26,1,0,124.8586,52,0,0,0,0,0,0,3,4,0,1,53,0,0,0,2,111.31,10.62714058,1.011772734,9.503485841,21.30177515,9.273922571,273,278,6,52,53,3,34,7,2,3.2759,101.7746,369.47898,0,44,0,110.11
2160,C20H23N,277.40332,0,20,23,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,277.4109939,8.856,23,0,1,1,0,0,1,0.130434783,23,0,0,116.5307,44,0,0,0,0,0,0,1,0,0,0,46,0,0,0,0,4.44,10.07480464,1.074894011,8.372835405,15.87901701,7.513007284,231,239,12,44,46,1,24,1,0,4.1686,90.962,277.40332,0,33,0,3.24
2161,C16H14N2O4,298.29336,0,16,14,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,3,2,297.2899934,5.6425,17,6,1,1,1,0,0,0.083333333,24,2,0,95.3388,35,0,0,0,0,0,0,2,4,0,0,37,0,0,0,0,109.25,12.89269568,0.980917133,12.14351156,16.84375,6.481481481,188,206,16,36,38,2,19,6,2,3.3262,83.7287,298.29336,0,20,0,106.42
2162,C20H25ClN2O5,408.8759,0,20,25,2,5,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,2,1,408.881991,8.9724,31,6,2,1,0,0,0,0.344827586,29,1,0,130.1911,53,1,0,0,1,0,0,2,5,0,0,54,0,0,0,0,101.5,10.85999526,1.014315471,9.706723468,24.27110583,12,269,265,6,53,54,4,32,7,2,3.2954,108.9261,408.8759,0,44,0,99.88
2170,C17H16ClN3O,313.78144,0,17,16,3,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,3,2,313.7879934,6.8639,19,3,1,0,0,0,2,0.04,25,2,0,98.5657,38,1,0,0,1,0,0,3,1,0,0,41,0,0,0,0,41.44,10.57081863,1.020355299,9.359938975,15.5232,6.857142857,208,233,12,38,41,1,20,4,1,3.1315,99.1897,313.78144,0,28,0,36.86
2179,C21H19N3O3S,393.45886,0,21,19,3,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,2,393.4679936,9.0945,25,5,2,2,0,0,0,0.161290323,31,1,0,133.4488,47,0,0,0,0,0,0,3,3,0,1,50,0,0,0,2,88.7,13.40943518,1.011412563,12.25812599,21.24037461,9.013333333,247,269,22,47,50,2,25,5,2,5.7385,113.5544,393.45886,0,26,0,88.7
2182,C10H7Cl2N3O,256.08808,0,10,7,3,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,1,256.0919946,3.2655,11,4,1,1,0,0,2,0,18,2,0,61.977,23,2,0,0,2,0,0,3,1,0,0,25,0,0,0,0,44.7,9.890747653,1.010717981,8.785862963,11.11111111,4.032921811,129,150,6,23,25,2,11,4,1,1.6286,73.0767,256.08808,0,17,0,44.7
2187,C17H19N5,293.36626,0,17,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,293.3739947,5.81496,23,5,0,0,0,0,0,0.173913043,23,1,0,103.892,41,0,0,0,0,0,0,5,0,0,0,42,0,0,0,0,78.29,10.69852265,1.073159413,8.969183067,18.34026465,7.266435986,211,219,11,41,42,0,23,5,0,2.92876,83.809,293.36626,0,29,2,78.29
2216,C9H10Cl2N4,245.1085,0,9,10,4,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,1,245.1129954,4.7967,14,4,3,2,0,0,2,0.125,16,1,0,69.323,25,2,0,0,2,0,0,4,0,0,0,26,0,0,0,0,62.44,10.33134316,1.00799703,9.249378574,11.484375,4.888429752,128,138,6,25,26,1,14,4,3,2.3653,71.3998,245.1085,0,19,0,62.44
2249,C14H22N2O3,266.33608,0,14,22,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,266.3409946,6.2164,26,4,3,1,0,1,1,0.421052632,19,0,0,98.1797,41,0,0,0,0,0,0,2,3,0,0,41,0,0,0,0,89.16,13.03620363,0.973236404,12.39469381,17.05263158,9.03125,202,200,6,41,41,1,27,5,3,1.5433,73.6129,266.33608,0,34,0,84.58
2265,C9H7N7O2S,277.26258,2,9,7,7,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,3,277.2689976,2.4572,13,6,1,1,0,0,0,0.142857143,21,3,0,73.2548,26,0,0,0,0,0,0,7,2,0,1,28,2,0,0,0,140.72,10.36976182,1.009220896,9.275016955,13.95918367,5.78,137,150,15,26,28,1,13,6,1,1.669,68.1177,277.26258,0,12,0,143.4
2266,C9H16O4,188.22094,0,9,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,186.2069957,4.6992,16,4,0,2,2,0,0,0.666666667,12,0,0,59.834,27,0,0,0,0,0,0,0,4,0,0,26,0,0,0,0,80.26,9.726942004,0.978579281,8.939860974,13,8.591715976,140,138,0,29,28,2,20,4,2,1.8863,48.9206,188.22094,0,26,0,74.6
2267,C22H24ClN3O,381.89846,0,22,24,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,381.906992,9.0163,26,3,1,1,0,0,1,0.1,30,2,0,135.4629,51,1,0,0,1,0,0,3,1,0,0,54,0,0,0,0,39.33,12.57791966,1.077989115,10.66794682,20.28,9.212018141,278,305,17,51,54,1,27,4,0,4.2354,115.267,381.89846,0,36,0,38.13
