DrugBankID,Type,inRepurposeDB,approved,logP calculated ALOGPS,logS calculated ALOGPS,Molecular Weight calculated ChemAxon,Monoisotopic Weight calculated ChemAxon,Polar Surface Area (PSA) calculated ChemAxon,Refractivity calculated ChemAxon,Polarizability calculated ChemAxon,Rotatable Bond Count calculated ChemAxon,H Bond Acceptor Count calculated ChemAxon,H Bond Donor Count calculated ChemAxon,pKa (strongest acidic) calculated ChemAxon,pKa (strongest basic) calculated ChemAxon,Physiological Charge calculated ChemAxon,Number of Rings calculated ChemAxon,
5360696,small molecule,FALSE,Y,3.75,-4.5,271.404,271.1936144,12.47,82.56,31.86,1,2,0,,9.85,1,4,T
5362065,small molecule,FALSE,Y,0.25,-3.6,453.45,453.0412892,184.51,104.91,41.62,8,10,4,3.45,2.92,-2,3,T
5362129,small molecule,FALSE,Y,0.92,-4,416.5106,416.2311221,95.94,111.19,44.78,10,5,2,3.75,5.2,-1,3,T
5362440,small molecule,FALSE,Y,3.26,-4.1,613.7895,613.362805,118.03,175.89,68.63,12,7,4,13.19,7.37,1,5,T
5388906,small molecule,FALSE,Y,6.37,-6.5,555.505,554.1568909,45.59,154.02,57.29,8,4,1,13.61,8.91,1,5,T
5479529,small molecule,FALSE,Y,-0.24,-3.2,424.385,424.0688842,173.76,97.17,38.75,8,7,3,3.15,-1.1,-1,3,T
5479530,small molecule,TRUE,Y,-0.01,-3.7,554.58,554.046057,208.98,128.47,51.47,8,12,4,3.19,4.17,-1,4,T
5479537,small molecule,FALSE,Y,-0.37,-4.5,480.561,480.1249593,150.04,141.98,47.53,7,8,2,3.25,4.06,0,4,T
5481173,small molecule,FALSE,Y,-1.2,-5,546.576,546.0991385,191.22,143.88,51.06,9,10,3,2.77,4.26,-1,4,T
5484727,small molecule,FALSE,Y,1.31,-4.3,430.5372,430.2467722,95.94,115.79,46.79,10,5,2,3.8,5.21,-1,3,T
5486971,small molecule,FALSE,Y,-1.4,-1.1,159.2261,159.1259288,63.32,43.68,18.08,5,3,2,4.8,10.23,0,0,T
5487301,small molecule,FALSE,N,1.03,-3.3,301.3867,301.1902604,95.03,112.16,35.41,7,6,4,14.91,9.8,1,2,T
5493381,small molecule,FALSE,Y,4.01,-4,373.3615,373.106256,108.47,125.32,38.52,4,6,3,4.55,0.19,-1,4,T
5493444,biotech,FALSE,Y,,,,,,,,,,,,,,,T
5742673,small molecule,FALSE,Y,0.14,-3.5,455.465,455.0569393,173.51,105.11,41.78,8,9,3,3.18,4.15,-1,3,T
6323490,small molecule,TRUE,Y,4.25,-4.7,847.0047,846.4415088,205.55,232.64,90.72,5,13,5,7.93,8.62,1,6,T
6335986,small molecule,FALSE,Y,0.05,-3.4,427.455,427.0620247,156.44,100.71,39.9,7,9,3,3.22,4.16,-1,3,T
6436173,small molecule,FALSE,Y,4.94,-5,785.8785,785.3523595,198.38,216.69,82.26,3,11,5,3.66,11.87,-1,6,T
6451164,small molecule,FALSE,Y,3.8,-4.5,366.4185,366.1592946,97.42,111.74,40.78,5,6,2,12.93,5.16,0,3,T
6915944,small molecule,FALSE,Y,0.02,-3.6,395.414,395.0358099,158.21,94.34,36.12,5,8,4,1.74,7.45,-1,3,T
6917715,small molecule,FALSE,Y,3.19,-4.6,324.4565,324.2089301,37.3,96.35,37.77,1,2,1,17.99,-1.5,0,4,T
6918140,small molecule,FALSE,Y,3.53,-4.7,390.5131,390.2406242,86.99,108,45.74,10,5,3,3.76,-1.3,-1,3,T
6918204,small molecule,FALSE,Y,,,1058.15,1058.31783,213.94,154.36,48.51,32,14,2,0.085,9.58,-4,1,T
