2764,mdtK
2764,parC
2764,parC
2764,parE
2764,TOP2A
2771,ADRA1A
2771,CHRM1
2771,CHRM1
2771,HRH1
2771,SLC6A4
2789,GABRA1
2789,GABRA2
2789,GABRA3
2789,GABRA4
2789,GABRA5
2789,GABRA6
2789,GABRB1
2789,GABRB2
2789,GABRB3
2789,GABRD
2789,GABRE
2789,GABRG1
2789,GABRG2
2789,GABRG3
2789,GABRP
2789,GABRP
2789,GABRQ
2801,GSTP1
2801,GSTP1
2801,HTR2A
2801,HTR2B
2801,HTR2C
2801,SLC6A2
2801,SLC6A4
2802,GABRA1
2802,GABRA2
2802,GABRA3
2802,GABRA4
2802,GABRA5
2802,GABRA6
2802,GABRB1
2802,GABRB2
2802,GABRB3
2802,GABRD
2802,GABRE
2802,GABRG1
2802,GABRG2
2802,GABRG3
2802,GABRP
2802,GABRP
2802,GABRQ
2802,TSPO
2803,ADRA1A
2803,ADRA1B
2803,ADRA1D
2803,ADRA2A
2803,ADRA2A
2803,ADRA2B
2803,ADRA2C
2818,ADRA1A
2818,ADRA1B
2818,ADRA2A
2818,ADRA2B
2818,ADRA2C
2818,CALY
2818,CHRM1
2818,CHRM2
2818,CHRM2
2818,CHRM3
2818,CHRM4
2818,CHRM5
2818,DRD1
2818,DRD2
2818,DRD3
2818,DRD4
2818,HRH1
2818,HRH4
2818,HTR1A
2818,HTR1B
2818,HTR1D
2818,HTR1E
2818,HTR2A
2818,HTR2C
2818,HTR3A
2818,HTR6
2818,HTR7
2895,HTR2A
2895,HTR2A
2955,folP1
2955,folP1
2955,folP2
3009,ODC1
3009,ODC1
3016,GABRA1
3016,GABRA1
3016,GABRA2
3016,GABRA2
3016,GABRA3
3016,GABRA3
3016,GABRA4
3016,GABRA5
3016,GABRA5
3016,GABRA6
3016,GABRB1
3016,GABRB1
3016,GABRB2
3016,GABRB2
3016,GABRB3
3016,GABRB3
3016,GABRD
3016,GABRD
3016,GABRE
3016,GABRE
3016,GABRG1
3016,GABRG1
3016,GABRG2
3016,GABRG2
3016,GABRG3
3016,GABRG3
3016,GABRP
3016,GABRP
3016,GABRQ
3016,GABRQ
3016,GABRR1
3016,GABRR2
3016,GABRR3
3016,GABRR3
3016,TSPO
3042,CHRM1
3042,CHRM2
3042,CHRM2
3059,PTGS1
3059,PTGS1
3059,PTGS2
3108,ADA
3108,PDE10A
3108,PDE4A
3108,PDE5A
3108,PDE5A
3114,CHRM1
3114,CHRM2
3114,CHRM2
3114,CHRM3
3114,KCND2
3114,KCND3
3114,SCN5A
3121,ABAT
3121,ACADSB
3121,ALDH5A1
3121,HDAC2
3121,HDAC9
3121,OGDH
3121,SCN10A
3121,SCN11A
3121,SCN1A
3121,SCN1B
3121,SCN2A
3121,SCN2B
3121,SCN2B
3121,SCN3A
3121,SCN3B
3121,SCN4A
3121,SCN4B
3121,SCN5A
